game_type,player1,player2,winner,seed,game_time
othello,mctsstrategy1000(mobility_strategy_vs),mctsrave10000,1,22025001,3704.9778382778168
othello,mobility_strategy,mctsstrategy5000(mobility_strategy_vs),2,22025001,8240.705031394958
othello,mctsstrategy1000(mobility_strategy_vs),mctsstrategy1000(mobility_strategy_vs),1,22025001,4090.4664340019226
othello,mctsstrategy1000(mobility_strategy_vs),mctsstrategy1000(mobility_strategy),2,22025001,3324.508777141571
othello,mobility_strategy,mctsstrategy10000(mobility_strategy),2,22025001,8616.303031206131
othello,random_strategy,mctsstrategy10000(mobility_strategy_vs),2,22025001,16713.321920871735
othello,mctsrave10000,mctsstrategy10000(mobility_strategy_vs),2,22025001,20469.1080391407
othello,mctsstrategy1000(mobility_strategy_vs),mctsstrategy2000(mobility_strategy),1,22025001,4076.4733414649963
othello,mctsstrategy1000(mobility_strategy_vs),mctsstrategy2000(mobility_strategy_vs),2,22025001,5709.863602638245
othello,mctsstrategy2000(mobility_strategy_vs),mcts1000,2,22025001,4217.68506360054
othello,mctsstrategy2000(mobility_strategy_vs),mcts2000,1,22025001,4125.42399930954
othello,mctsstrategy2000(mobility_strategy_vs),mcts5000,2,22025001,4748.550112247467
othello,mobility_strategy_vs,mctsstrategy10000(mobility_strategy_vs),2,22025001,16757.171220541
othello,mctsstrategy1000(mobility_strategy_vs),mctsstrategy5000(mobility_strategy),1,22025001,7087.71951341629
othello,mctsstrategy2000(mobility_strategy_vs),mctsrave1000,1,22025001,4219.662811994553
othello,mctsstrategy2000(mobility_strategy_vs),mctsrave2000,1,22025001,4481.13045167923
othello,mctsstrategy2000(mobility_strategy_vs),mobility_strategy_vs,1,22025001,3866.1930520534515
othello,mctsstrategy2000(mobility_strategy_vs),mcts10000,1,22025001,5609.888817548752
othello,mctsstrategy2000(mobility_strategy_vs),random_strategy,1,22025001,4111.669055938721
othello,mctsstrategy2000(mobility_strategy_vs),mctsrave5000,1,22025001,4740.680038452148
othello,mctsstrategy2000(mobility_strategy_vs),mobility_strategy,1,22025001,4068.2979617118835
othello,mobility_strategy,mctsstrategy10000(mobility_strategy_vs),2,22025001,15680.817508459091
othello,mctsstrategy2000(mobility_strategy_vs),mctsrave10000,1,22025001,5979.279444694519
othello,mctsstrategy1000(mobility_strategy_vs),mctsstrategy5000(mobility_strategy_vs),1,22025001,11393.90238070488
othello,mctsstrategy2000(mobility_strategy_vs),mctsstrategy1000(mobility_strategy_vs),2,22025001,6224.0012357234955
othello,mctsstrategy1000(mobility_strategy_vs),mctsstrategy10000(mobility_strategy),1,22025001,11875.756925106049
othello,mctsstrategy2000(mobility_strategy_vs),mctsstrategy1000(mobility_strategy),1,22025001,4981.994687795639
othello,mctsstrategy2000(mobility_strategy_vs),mctsstrategy2000(mobility_strategy_vs),1,22025001,7305.425253391266
othello,mctsstrategy2000(mobility_strategy_vs),mctsstrategy2000(mobility_strategy),1,22025001,6213.794281721115
othello,mctsstrategy5000(mobility_strategy_vs),mobility_strategy,1,22025001,8651.9883852005
othello,mctsstrategy5000(mobility_strategy_vs),mobility_strategy_vs,1,22025001,8733.844842672348
othello,mctsstrategy5000(mobility_strategy_vs),random_strategy,1,22025001,9360.41683101654
othello,mctsstrategy2000(mobility_strategy_vs),mctsstrategy5000(mobility_strategy),1,22025001,9407.330812454224
othello,mctsstrategy5000(mobility_strategy_vs),mctsrave2000,1,22025001,9538.783695936203
othello,mctsstrategy5000(mobility_strategy_vs),mcts1000,1,22025001,9623.22607254982
othello,mctsstrategy5000(mobility_strategy_vs),mctsrave1000,1,22025001,9743.44778418541
othello,mctsstrategy5000(mobility_strategy_vs),mcts2000,1,22025001,9811.42505979538
othello,mctsstrategy5000(mobility_strategy_vs),mcts5000,1,22025001,10479.088635921478
othello,mctsstrategy5000(mobility_strategy_vs),mctsrave5000,1,22025001,10861.142476558685
othello,mctsstrategy5000(mobility_strategy_vs),mctsrave10000,1,22025001,11024.083228111267
