game_type,player1,player2,winner,seed
hex,mctsstrategies1000(random_strategy:mobility_strategy),random,2,22021128
hex,mctsstrategy1000(random_strategy),random,1,22021118
othello,mctsrave1000,random,2,22021116
othello,mapbaseheuothello,mctsstrategies1000(random_strategy:mobility_strategy),2,22021113
othello,mctsrave1000,greedy,1,22021114
othello,mctsstrategy1000(random_strategy),mctsrave1000,2,22021133
othello,mcts1000,random,2,22021145
othello,mctsrave1000,mctsrave1000,2,22021157
othello,alphabeta3,mctsstrategy1000(random_strategy),2,22021162
hex,mctsstrategy1000(random_strategy),mcts1000,1,22021104
hex,random,mcts1000,2,22021130
hex,alphabeta3,mcts1000,2,22021101
hex,mctsstrategies1000(random_strategy:mobility_strategy),random,1,22021079
hex,mctsstrategies1000(random_strategy:mobility_strategy),mcts1000,2,22021126
hex,mctsstrategy1000(random_strategy),mctsstrategy1000(random_strategy),1,22021137
othello,mctsstrategy1000(random_strategy),random,2,22021142
hex,mctsstrategy1000(random_strategy),random,2,22021105
othello,mctsstrategies1000(random_strategy:mobility_strategy),mctsrave1000,2,22021079
hex,mctsstrategy1000(random_strategy),mcts1000,1,22021123
hex,mctsstrategies1000(random_strategy:mobility_strategy),random,2,22021144
hex,mctsstrategy1000(random_strategy),mctsstrategy1000(random_strategy),1,22021110
hex,random,alphabeta3,1,22021070
othello,mctsstrategy1000(random_strategy),mctsstrategies1000(random_strategy:mobility_strategy),2,22021082
othello,mctsrave1000,random,2,22021120
hex,mcts1000,mctsstrategy1000(random_strategy),1,22021116
hex,mcts1000,alphabeta3,1,22021139
othello,random,mcts1000,2,22021112
hex,alphabeta3,random,2,22021121
othello,mapbaseheuothello,random,1,22021106
othello,mctsstrategies1000(random_strategy:mobility_strategy),mapbaseheuothello,2,22021078
hex,mcts1000,mctsstrategy1000(random_strategy),1,22021101
hex,mctsstrategy1000(random_strategy),mctsstrategy1000(random_strategy),2,22021098
othello,mapbaseheuothello,mctsstrategies1000(random_strategy:mobility_strategy),2,22021158
othello,random,greedy,1,22021108
othello,alphabeta3,greedy,1,22021115
hex,alphabeta3,mctsstrategy1000(random_strategy),2,22021105
hex,mcts1000,alphabeta3,1,22021144
othello,mapbaseheuothello,alphabeta3,1,22021115
othello,alphabeta3,mcts1000,2,22021119
othello,mctsrave1000,alphabeta3,2,22021131
othello,mctsstrategy1000(random_strategy),mcts1000,2,22021157
hex,random,alphabeta3,1,22021136
othello,mctsrave1000,greedy,1,22021112
othello,mapbaseheuothello,mctsstrategies1000(random_strategy:mobility_strategy),2,22021075
hex,alphabeta3,mcts1000,1,22021139
othello,mctsrave1000,mcts1000,2,22021142
hex,random,alphabeta3,1,22021148
othello,greedy,mctsstrategies1000(random_strategy:mobility_strategy),2,22021165
hex,alphabeta3,mctsstrategies1000(random_strategy:mobility_strategy),2,22021152
othello,mctsstrategy1000(random_strategy),mapbaseheuothello,2,22021089
othello,alphabeta3,mapbaseheuothello,1,22021163
othello,mctsrave1000,mctsstrategy1000(random_strategy),2,22021150
othello,greedy,mctsstrategy1000(random_strategy),2,22021083
othello,mctsrave1000,mctsstrategy1000(random_strategy),2,22021157
hex,mctsstrategy1000(random_strategy),mctsstrategy1000(random_strategy),1,22021077
hex,mctsstrategies1000(random_strategy:mobility_strategy),mcts1000,1,22021093
othello,mcts1000,mcts1000,2,22021151
othello,mapbaseheuothello,random,1,22021152
hex,mctsstrategies1000(random_strategy:mobility_strategy),alphabeta3,1,22021083
othello,mctsrave1000,mctsrave1000,2,22021091
hex,mctsstrategy1000(random_strategy),mcts1000,2,22021071
othello,greedy,mctsrave1000,2,22021115
hex,mctsstrategies1000(random_strategy:mobility_strategy),mctsstrategies1000(random_strategy:mobility_strategy),2,22021131
hex,mcts1000,alphabeta3,1,22021166
othello,mcts1000,mcts1000,2,22021098
othello,mctsrave1000,mctsrave1000,2,22021099
hex,mcts1000,mcts1000,2,22021081
othello,greedy,greedy,0,22021100
othello,random,random,1,22021110
othello,mcts1000,greedy,1,22021076
othello,mctsstrategy1000(random_strategy),alphabeta3,2,22021074
othello,mcts1000,mctsstrategies1000(random_strategy:mobility_strategy),2,22021154
othello,greedy,alphabeta3,2,22021153
othello,mctsstrategy1000(random_strategy),mapbaseheuothello,2,22021164
othello,mcts1000,alphabeta3,2,22021104
hex,random,mcts1000,1,22021131
othello,greedy,mapbaseheuothello,2,22021123
othello,mctsstrategy1000(random_strategy),mctsstrategy1000(random_strategy),2,22021106
hex,mctsstrategies1000(random_strategy:mobility_strategy),mcts1000,2,22021145
othello,random,alphabeta3,2,22021109
othello,alphabeta3,greedy,1,22021161
othello,mctsstrategies1000(random_strategy:mobility_strategy),mctsstrategies1000(random_strategy:mobility_strategy),2,22021109
othello,mcts1000,greedy,1,22021122
hex,mctsstrategy1000(random_strategy),mcts1000,1,22021124
hex,mctsstrategy1000(random_strategy),mctsstrategies1000(random_strategy:mobility_strategy),2,22021143
othello,mctsstrategies1000(random_strategy:mobility_strategy),alphabeta3,2,22021104
othello,greedy,greedy,0,22021143
othello,alphabeta3,mcts1000,2,22021151
hex,mctsstrategies1000(random_strategy:mobility_strategy),mcts1000,2,22021088
hex,mctsstrategies1000(random_strategy:mobility_strategy),mctsstrategy1000(random_strategy),2,22021102
hex,random,mctsstrategy1000(random_strategy),1,22021089
